,ID,map,folder,image,cir0_x,cir0_y,cir0_r,cir1_x,cir1_y,cir1_r,cir2_x,cir2_y,cir2_r,cir3_x,cir3_y,cir3_r,cir4_x,cir4_y,cir4_r,numCircles,TimeStamp,season
24,25,SP,Cenote,EndZone_1019.png ,246,732,20,252,716,40,284,688,81,330,634,151,398,494,306,5,2023_11_21 19:40:16,18
25,26,SP,Cascade,EndZone_102.png ,568,360,19,564,372,40,548,368,79,546,342,151,498,490,306,5,2024_03_24 15:32:37,18
26,27,WE,Lava Fissure,EndZone_1020.png ,124,384,21,148,382,45,168,414,90,222,416,147,368,460,303,5,2023_11_21 19:40:54,18
27,28,WE,Lava Siphon,EndZone_1021.png ,584,662,22,594,650,46,594,660,90,616,678,149,472,698,302,5,2023_11_21 19:41:32,18
28,29,SP,Cascade,EndZone_1022.png ,594,294,20,574,290,40,592,294,80,552,268,151,466,400,305,5,2023_11_21 19:42:10,18
29,30,SP,Lightning Rode,EndZone_1023.png ,826,374,20,828,392,40,788,404,80,718,392,151,594,486,305,5,2023_11_21 19:42:48,18
30,31,SP,Jurassic,EndZone_1024.png ,598,646,20,592,652,40,618,678,80,620,610,149,548,472,305,5,2023_11_21 19:43:25,18
31,32,WE,SkyE,EndZone_1025.png ,406,206,22,420,212,46,440,248,91,396,264,147,400,418,303,5,2023_11_21 19:44:03,18
32,33,WE,Harvester,EndZone_1026.png ,458,764,22,460,774,44,486,796,92,458,828,147,428,676,302,5,2023_11_21 19:44:41,18
33,34,SP,Cascade,EndZone_1027.png ,454,406,20,436,412,41,430,440,82,468,434,149,566,548,305,5,2023_11_21 19:45:18,18
34,35,WE,Staging-Mirage,EndZone_1028.png ,130,536,22,142,540,46,158,574,90,196,612,149,344,574,303,5,2023_11_21 19:45:56,18
35,36,SP,Bean,EndZone_1029.png ,182,618,20,202,614,40,240,602,80,290,554,150,408,452,306,5,2023_11_21 19:46:34,18
36,37,WE,Stacks-Maude,EndZone_1030.png ,736,726,22,726,718,44,748,704,90,694,714,148,594,598,303,5,2023_11_21 19:47:12,18
37,38,SP,Cascade,EndZone_1031.png ,572,330,19,570,342,40,552,348,79,542,368,151,504,518,306,5,2023_11_21 19:47:50,18
38,39,SP,Jurassic,EndZone_1032.png ,498,570,20,500,552,40,478,552,80,502,520,150,478,406,305,5,2023_11_21 19:48:27,18
39,40,WE,Harvester,EndZone_1033.png ,390,648,21,388,662,46,362,634,91,352,666,149,328,520,301,5,2023_11_21 19:49:05,18
40,41,WE,SkyW-Trials,EndZone_1035.png ,284,146,22,288,168,47,290,212,91,328,254,147,338,406,302,5,2023_11_21 19:50:20,18
41,42,WE,Monument,EndZone_1036.png ,500,506,22,500,504,46,496,524,91,528,530,149,472,488,302,5,2023_11_21 19:50:41,18
42,43,WE,Thermal Station,EndZone_1037.png ,252,690,22,252,704,46,240,672,90,246,618,148,402,612,303,5,2023_11_21 19:51:18,18
43,44,SP,Jurassic,EndZone_1038.png ,584,628,20,584,628,40,544,620,79,560,566,151,464,440,306,5,2023_11_21 19:51:56,18
44,45,SP,Beast,EndZone_1039.png ,104,280,20,126,282,40,166,282,80,230,304,150,312,436,305,5,2023_11_21 19:52:35,18
45,46,WE,Tree,EndZone_104.png ,364,828,22,384,826,46,422,840,91,416,788,148,504,660,301,5,2024_03_24 15:33:43,18
46,47,SP,Zeus,EndZone_1040.png ,724,108,20,726,126,40,726,130,80,710,200,149,570,264,306,5,2023_11_21 19:53:12,18
47,48,WE,Stacks-Maude,EndZone_1041.png ,702,858,22,706,836,45,716,794,91,670,766,149,584,640,302,5,2023_11_21 19:53:50,18
48,49,SP,Zeus,EndZone_1042.png ,806,126,20,800,146,40,788,182,81,768,248,151,616,286,305,5,2023_11_21 19:54:28,18
49,50,WE,Lava Siphon,EndZone_1044.png ,498,766,23,488,766,46,466,742,92,480,734,149,346,672,303,5,2023_11_21 19:55:43,18
50,51,SP,Lightning Rode,EndZone_1045.png ,898,248,20,880,256,40,844,274,81,802,330,149,674,416,305,5,2023_11_21 19:56:20,18
51,52,SP,Cenote,EndZone_1046.png ,204,690,20,204,690,40,228,656,80,298,646,150,428,562,306,5,2023_11_21 19:56:58,18
52,53,SP,Pylon,EndZone_1048.png ,656,680,19,644,674,41,668,664,79,628,606,151,516,500,305,5,2023_11_21 19:58:13,18
53,54,SP,Beast,EndZone_105.png ,170,286,20,182,302,41,220,308,81,290,318,151,388,440,305,5,2023_11_07 09:28:02,18
54,55,WE,Stacks-Maude,EndZone_1052.png ,718,854,23,702,868,44,658,870,91,652,814,148,608,666,303,5,2023_11_21 20:00:44,18
55,56,SP,Cascade Balls,EndZone_1054.png ,636,650,20,650,654,41,648,684,80,612,624,151,518,502,306,5,2023_11_21 20:02:00,18
56,57,WE,Harvester,EndZone_1056.png ,392,778,22,404,792,46,426,756,91,374,754,149,494,658,301,5,2023_11_21 20:03:16,18
57,58,SP,Zeus,EndZone_1057.png ,776,148,20,770,166,40,764,206,80,748,274,151,600,322,307,5,2023_11_21 20:03:53,18
58,59,SP,Barometer,EndZone_1058.png ,248,762,20,260,748,40,296,724,81,354,686,149,486,604,305,5,2023_11_21 20:04:31,18
59,60,WE,FragE-NoName,EndZone_1059.png ,588,604,22,594,604,46,618,576,90,590,612,149,558,470,301,5,2023_11_21 20:05:08,18
60,61,WE,Stacks-Maude,EndZone_106 (2).png ,704,898,21,704,898,46,662,878,91,656,822,149,584,684,301,5,2024_03_24 15:34:48,18
61,62,SP,Bean,EndZone_106.png ,152,570,20,172,564,40,206,546,80,274,566,151,410,490,306,5,2023_11_14 09:35:10,18
62,63,SP,Northpad,EndZone_1060.png ,400,170,20,406,186,40,440,202,80,486,254,150,488,410,305,5,2023_11_21 20:05:46,18
63,64,WE,Climatizer,EndZone_1063.png ,750,290,23,760,310,46,746,350,91,696,368,149,628,506,301,5,2023_11_21 20:07:40,18
64,65,SP,Lightning Rode,EndZone_1067.png ,874,178,20,856,186,41,836,218,80,768,236,151,636,318,306,5,2023_11_21 20:10:03,18
65,66,WE,Survey-Epicenter,EndZone_1068.png ,652,372,22,640,378,45,652,378,90,600,398,149,568,548,302,5,2023_11_21 20:10:40,18
66,67,WE,Landslide,EndZone_1069.png ,418,336,21,428,320,46,408,288,91,456,318,149,502,464,301,5,2023_11_21 20:11:18,18
67,68,SP,Coastal,EndZone_1071.png ,486,858,20,496,842,40,504,802,81,520,734,149,572,586,305,5,2023_11_21 20:12:34,18
68,69,WE,Harvester,EndZone_1073.png ,398,814,22,406,818,46,430,790,92,470,782,149,458,630,303,5,2023_11_21 20:13:50,18
69,70,WE,Lava Fissure,EndZone_1074.png ,110,352,23,126,370,45,140,406,91,196,416,147,302,528,303,5,2023_11_21 20:14:27,18
70,71,WE,Staging-Mirage,EndZone_1075.png ,162,544,21,172,548,46,182,584,91,204,638,148,338,564,302,5,2023_11_21 20:15:05,18
71,72,WE,Staging-Mirage,EndZone_1077.png ,134,544,21,152,548,46,184,574,91,226,608,148,378,630,303,5,2023_11_21 20:16:21,18
72,73,WE,Staging-Mirage,EndZone_1078.png ,206,538,21,208,548,46,222,544,90,194,570,147,334,510,302,5,2023_11_21 20:16:58,18
73,74,SP,Pylon,EndZone_1079.png ,548,698,20,560,688,40,572,682,79,626,640,151,614,486,305,5,2023_11_21 20:17:36,18
74,75,WE,Staging-Mirage,EndZone_108.png ,288,706,23,280,710,45,268,750,90,318,768,148,406,644,301,5,2024_03_24 15:35:54,18
75,76,SP,Coastal,EndZone_1080.png ,554,794,19,552,796,40,556,756,81,552,684,149,594,534,305,5,2023_11_21 20:18:14,18
76,77,WE,Tree,EndZone_1081.png ,422,896,22,414,886,46,416,848,91,438,802,147,430,648,302,5,2023_11_21 20:18:52,18
77,78,SP,Checkpoint,EndZone_1082.png ,204,364,19,206,364,40,244,372,81,310,396,149,424,502,305,5,2023_11_21 20:19:30,18
78,79,SP,Ceto-Station,EndZone_1083.png ,388,550,19,380,564,41,366,556,79,378,622,149,504,530,306,5,2023_11_21 20:20:08,18
79,80,WE,SkyW-Trials,EndZone_1086.png ,134,192,22,142,212,46,182,240,91,232,262,149,348,364,303,5,2023_11_21 20:22:01,18
80,81,SP,Launchpad,EndZone_1087.png ,812,714,20,800,698,40,762,688,81,698,662,149,576,566,306,5,2023_11_21 20:22:40,18
81,82,SP,Wall,EndZone_1089.png ,632,44,20,622,62,41,602,98,81,622,164,151,606,320,305,5,2023_11_21 20:23:55,18
82,83,WE,Landslide,EndZone_109.png ,426,374,23,432,378,45,422,390,90,444,386,149,574,448,303,5,2023_11_07 09:31:07,18
83,84,WE,Monument,EndZone_1090.png ,524,420,21,524,436,46,538,452,91,508,444,149,408,548,303,5,2023_11_21 20:24:32,18
84,85,SP,Zeus,EndZone_1092.png ,776,148,20,770,166,40,764,206,80,748,274,151,600,322,307,5,2023_11_21 20:25:48,18
85,86,SP,Beast,EndZone_1094.png ,90,304,20,110,302,40,150,304,80,208,342,151,364,348,305,5,2023_11_21 20:27:03,18
86,87,SP,Pylon,EndZone_1095.png ,566,742,19,556,754,40,588,732,81,582,662,151,474,550,306,5,2023_11_21 20:27:41,18
87,88,SP,Mill,EndZone_1096.png ,142,528,20,162,524,40,200,536,80,270,550,151,422,568,306,5,2023_11_21 20:28:19,18
88,89,SP,Wall,EndZone_1097.png ,620,216,20,608,228,40,580,250,80,606,308,150,480,396,307,5,2023_11_21 20:28:57,18
89,90,WE,Monument,EndZone_11 (2).png ,530,364,22,520,360,45,562,368,90,526,390,148,436,498,302,5,2024_03_24 14:38:31,18
90,91,SP,Barometer,EndZone_11.png ,424,726,20,408,730,40,440,732,81,460,664,151,542,532,305,5,2023_11_14 08:22:09,18
91,92,SP,Wall,EndZone_110.png ,584,254,19,586,268,40,584,300,79,556,346,150,558,502,307,5,2024_03_24 15:37:00,18
92,93,WE,Thermal Station,EndZone_1101.png ,288,722,21,308,714,46,320,716,91,292,730,148,374,602,303,5,2023_11_21 20:31:28,18
93,94,WE,Thermal Station,EndZone_1103.png ,276,706,22,282,692,45,274,670,91,300,688,147,422,596,301,5,2023_11_21 20:32:44,18
94,95,SP,Jurassic,EndZone_1108.png ,482,596,21,474,612,40,442,598,80,412,574,151,488,438,305,5,2023_11_21 20:35:52,18
95,96,SP,Barometer,EndZone_111.png ,346,772,20,352,758,41,372,720,81,418,670,150,416,512,306,5,2024_03_24 15:37:34,18
96,97,WE,Stacks-Maude,EndZone_1110.png ,750,872,22,758,852,46,714,842,92,682,794,147,610,660,303,5,2023_11_21 20:37:00,18
97,98,SP,Echo,EndZone_1114.png ,700,822,21,700,800,40,694,762,80,664,698,150,570,576,304,5,2023_11_21 20:39:32,18
98,99,SP,Wall,EndZone_1117.png ,632,44,20,622,62,41,602,98,81,622,164,151,606,320,305,5,2023_11_21 20:41:26,18
99,100,SP,Lightning Rode,EndZone_112.png ,852,206,20,840,218,40,818,252,80,748,260,150,688,406,305,5,2024_03_24 15:38:07,18
100,101,SP,Lightning Rode,EndZone_1120.png ,874,178,20,856,186,41,836,218,80,768,236,151,636,318,306,5,2023_11_21 20:43:19,18
101,102,WE,Thermal Station,EndZone_1121.png ,334,724,22,320,726,45,302,744,92,338,754,147,396,610,301,5,2023_11_21 20:43:56,18
102,103,WE,Countdown,EndZone_1123.png ,232,308,22,232,292,44,250,332,92,302,314,147,314,466,301,5,2023_11_21 20:45:12,18
103,104,SP,Cascade Balls,EndZone_1124.png ,614,554,19,626,560,40,596,556,80,644,544,151,504,474,305,5,2023_11_21 20:45:50,18
104,105,WE,FragE-NoName,EndZone_1125.png ,692,480,22,692,468,46,704,470,92,718,420,147,608,528,302,5,2023_11_21 20:46:27,18
105,106,SP,Northpad,EndZone_1126.png ,390,162,20,378,176,41,406,206,80,414,274,151,542,362,306,5,2023_11_21 20:47:05,18
106,107,SP,Wall,EndZone_1129.png ,584,130,20,586,148,40,572,186,81,572,254,151,508,396,305,5,2023_11_21 20:48:58,18
107,108,WE,Harvester,EndZone_113 (2).png ,384,598,22,380,594,46,360,574,91,406,596,149,530,522,301,5,2024_03_24 15:38:40,18
108,109,WE,Survey-Epicenter,EndZone_113.png ,630,130,23,616,150,46,584,182,90,594,238,147,506,364,301,5,2023_11_14 09:40:45,18
109,110,WE,Survey-Epicenter,EndZone_1133.png ,524,150,21,522,172,45,546,208,91,512,252,149,416,372,303,5,2023_11_21 20:51:29,18
110,111,WE,Lava Fissure,EndZone_1135.png ,130,482,22,150,470,46,154,506,91,212,504,147,340,588,303,5,2023_11_24 21:48:42,18
111,112,SP,Barometer,EndZone_1136.png ,372,770,20,386,760,41,410,728,80,424,660,149,452,506,305,5,2023_11_24 21:49:20,18
112,113,WE,Thermal Station,EndZone_1137.png ,230,764,21,238,768,46,232,734,90,260,692,148,394,614,303,5,2023_11_24 21:49:57,18
113,114,SP,Cascade Balls,EndZone_1138.png ,584,540,19,592,530,40,606,566,80,616,544,150,480,470,304,5,2023_11_24 21:50:35,18
114,115,WE,Countdown,EndZone_1139.png ,314,352,22,300,348,46,302,390,90,346,394,147,358,546,301,5,2023_11_24 21:51:12,18
115,116,WE,Climatizer,EndZone_114.png ,734,278,23,748,294,45,714,318,91,680,366,148,550,444,302,5,2024_03_24 15:39:12,18
116,117,WE,Harvester,EndZone_1140.png ,406,608,22,410,590,46,430,586,90,412,606,149,486,514,303,5,2023_11_24 21:51:50,18
117,118,SP,Cenote,EndZone_1141.png ,130,680,20,136,676,40,170,658,80,224,616,150,376,578,305,5,2023_11_24 21:52:27,18
118,119,SP,Storm Catcher,EndZone_1142.png ,728,444,21,720,456,40,698,458,82,648,418,151,494,430,305,5,2023_11_24 21:53:05,18
119,120,WE,Landslide,EndZone_1145.png ,304,496,22,288,504,45,314,484,90,352,510,149,332,634,301,5,2023_11_24 21:54:58,18
120,121,SP,Cascade,EndZone_1146.png ,516,292,19,526,304,40,504,318,79,450,312,149,444,466,305,5,2023_11_24 21:55:35,18
121,122,WE,Overlook,EndZone_1147.png ,748,374,22,734,372,46,720,410,90,670,434,149,522,478,303,5,2023_11_24 21:56:13,18
122,123,WE,Harvester,EndZone_1148.png ,538,650,22,532,654,46,546,682,91,542,664,147,450,556,302,5,2023_11_24 21:56:50,18
123,124,WE,Survey-Epicenter,EndZone_115.png ,504,264,22,512,252,45,556,256,91,552,314,149,458,434,301,5,2024_03_24 15:39:45,18
124,125,SP,Barometer,EndZone_1150.png ,336,762,20,356,762,40,364,722,80,410,668,150,462,520,306,5,2023_11_24 21:58:06,18
125,126,WE,Climatizer,EndZone_1151.png ,736,284,23,740,306,47,704,324,91,668,366,148,608,506,303,5,2023_11_24 21:58:43,18
126,127,WE,Survey-Epicenter,EndZone_1152.png ,520,130,23,530,150,46,504,188,91,512,244,149,482,394,301,5,2023_11_24 21:59:20,18
127,128,WE,Overlook,EndZone_1153.png ,822,414,22,804,402,46,766,418,91,712,406,149,590,502,301,5,2023_11_24 21:59:57,18
128,129,SP,Wall,EndZone_1154.png ,620,216,20,608,228,40,580,250,80,606,308,150,480,396,307,5,2023_11_24 22:00:35,18
129,130,WE,Lava Siphon,EndZone_1156.png ,498,888,22,508,896,46,540,884,92,508,842,148,512,690,301,5,2023_11_24 22:01:49,18
130,131,SP,Beast,EndZone_1158.png ,112,284,20,126,298,43,166,308,82,228,338,151,384,336,307,5,2023_11_24 22:02:56,18
131,132,WE,Thermal Station,EndZone_1159.png ,146,842,22,164,830,44,188,792,92,226,748,149,338,646,301,5,2023_11_24 22:03:17,18
132,133,WE,Lava Fissure,EndZone_116.png ,104,316,21,110,334,46,152,354,91,196,390,149,268,524,301,5,2024_03_24 15:40:18,18
133,134,SP,Northpad,EndZone_1160.png ,300,208,20,298,228,40,330,252,80,364,312,151,506,380,305,5,2023_11_24 22:03:54,18
134,135,WE,Landslide,EndZone_1161.png ,286,418,21,292,438,44,310,450,90,266,416,149,414,450,301,5,2023_11_24 22:04:31,18
135,136,SP,Barometer,EndZone_1163.png ,352,686,21,348,682,40,342,644,80,352,576,151,462,466,306,5,2023_11_24 22:05:46,18
136,137,WE,Lava Siphon,EndZone_1164.png ,498,884,22,510,890,45,538,868,91,494,838,149,464,686,301,5,2023_11_24 22:06:24,18
137,138,SP,Barometer,EndZone_1166.png ,386,774,22,404,778,40,432,750,80,450,682,149,550,564,306,5,2023_11_24 22:07:30,18
138,139,WE,Stacks-Maude,EndZone_117.png ,750,856,23,750,838,44,748,794,91,718,746,149,566,716,301,5,2023_11_14 09:43:50,18
139,140,WE,Geyser,EndZone_1170.png ,764,608,22,750,592,46,754,626,91,726,670,149,612,566,302,5,2023_11_24 22:10:00,18
140,141,WE,Lava Fissure,EndZone_1172.png ,158,478,23,158,476,46,192,502,92,182,550,147,330,582,301,5,2023_11_24 22:11:14,18
141,142,WE,Survey-Epicenter,EndZone_1174.png ,638,386,22,634,394,46,602,408,91,636,388,147,538,506,303,5,2023_11_24 22:12:21,18
142,143,WE,Overlook,EndZone_1177.png ,804,310,23,786,318,46,742,320,90,690,344,148,614,478,301,5,2023_11_24 22:13:48,18
143,144,WE,Monument,EndZone_118.png ,528,500,22,514,482,46,500,446,92,474,450,149,366,526,302,5,2024_03_24 15:41:16,18
144,145,WE,Harvester,EndZone_1180.png ,466,618,22,468,600,45,490,576,91,454,590,149,476,576,301,5,2023_11_24 22:15:32,18
145,146,WE,Harvester,EndZone_1181.png ,446,620,23,454,602,45,476,640,91,490,596,148,500,500,301,5,2023_11_24 22:16:09,18
146,147,WE,Staging-Mirage,EndZone_1182.png ,336,644,22,328,654,45,362,648,92,392,660,149,300,594,302,5,2023_11_24 22:16:46,18
147,148,WE,Lava Siphon,EndZone_1183.png ,524,892,22,512,906,45,524,866,90,544,820,148,504,674,301,5,2023_11_24 22:17:24,18
148,149,WE,Climatizer,EndZone_1184.png ,722,220,22,714,240,44,680,268,91,632,298,149,610,450,302,5,2023_11_24 22:18:01,18
149,150,WE,SkyW-Trials,EndZone_1185.png ,128,172,23,140,194,46,166,230,91,202,272,147,320,370,300,5,2023_11_24 22:18:38,18
150,151,SP,Wall,EndZone_1187.png ,576,244,20,566,232,40,578,256,79,536,310,151,500,462,305,5,2023_11_24 22:19:53,18
151,152,WE,Survey-Epicenter,EndZone_1188.png ,574,404,23,566,422,46,574,410,92,584,390,147,482,502,302,5,2023_11_24 22:20:30,18
152,153,SP,Jurassic,EndZone_1189.png ,442,494,21,434,488,40,428,478,82,430,428,149,530,546,305,5,2023_11_24 22:20:51,18
153,154,SP,Wall,EndZone_119.png ,618,42,20,614,62,40,624,100,79,620,170,151,650,324,305,5,2024_03_24 15:41:49,18
154,155,SP,Devastated-Coast,EndZone_1190.png ,792,808,20,778,798,40,768,758,80,716,712,151,640,578,305,5,2023_11_24 22:21:28,18
155,156,SP,Barometer,EndZone_1191.png ,428,740,20,412,730,40,436,672,80,436,674,149,550,564,306,5,2023_11_24 22:22:06,18
156,157,WE,FragE-NoName,EndZone_1192.png ,608,414,22,606,402,47,578,390,91,584,430,149,432,442,301,5,2023_11_24 22:22:43,18
157,158,SP,Pylon,EndZone_1193.png ,612,712,20,596,712,40,586,682,79,550,622,150,458,498,305,5,2023_11_24 22:23:21,18
158,159,WE,Survey-Epicenter,EndZone_1194.png ,496,174,22,476,172,45,496,208,90,474,260,149,486,414,303,5,2023_11_24 22:23:58,18
159,160,SP,Ceto-Station,EndZone_1196.png ,384,456,19,388,452,40,396,442,82,332,464,151,478,406,306,5,2023_11_24 22:24:56,18
160,161,SP,Bean,EndZone_1197.png ,286,524,20,294,508,40,326,486,80,332,536,149,440,422,306,5,2023_11_24 22:25:34,18
161,162,WE,Staging-Mirage,EndZone_12.png ,272,524,22,266,538,44,250,526,90,216,562,148,366,592,303,5,2024_03_24 14:39:04,18
162,163,SP,Storm Catcher,EndZone_120.png ,750,516,19,734,516,41,766,512,80,700,496,151,552,550,305,5,2024_03_24 15:42:22,18
163,164,SP,Wall,EndZone_1200.png ,622,192,20,608,188,40,582,214,80,548,276,149,590,424,306,5,2023_11_24 22:27:01,18
164,165,SP,Pylon,EndZone_1202.png ,638,666,19,644,674,40,642,712,81,610,650,151,540,510,307,5,2023_11_24 22:28:08,18
165,166,SP,Cascade Balls,EndZone_1204.png ,580,534,19,582,534,40,578,526,80,536,470,149,486,534,306,5,2023_11_24 22:29:23,18
166,167,WE,Survey-Epicenter,EndZone_1207.png ,516,216,23,536,210,45,552,250,92,504,272,148,456,418,301,5,2023_11_24 22:30:58,18
167,168,WE,Monument,EndZone_121.png ,486,496,21,470,508,46,494,512,91,456,538,149,388,420,302,5,2024_03_24 15:42:55,18
168,169,SP,Jurassic,EndZone_1211.png ,610,656,19,610,652,41,618,640,80,574,608,149,482,484,306,5,2023_11_24 22:33:21,18
169,170,SP,Bean,EndZone_1214.png ,154,580,20,174,578,41,214,574,81,276,542,151,430,574,305,5,2023_11_24 22:35:05,18
170,171,SP,Mill,EndZone_1215.png ,142,528,20,162,524,40,200,536,80,270,550,151,422,568,306,5,2023_11_24 22:35:42,18
171,172,SP,Zeus,EndZone_1217.png ,724,110,20,712,126,40,710,126,80,704,196,151,688,350,306,5,2023_11_24 22:36:58,18
172,173,SP,Mill,EndZone_1219.png ,122,468,20,142,468,40,180,482,82,242,514,150,380,442,304,5,2023_11_24 22:38:13,18
173,174,SP,Mill,EndZone_122 (2).png ,182,388,20,196,402,42,204,404,80,272,388,151,406,460,306,5,2024_03_24 15:43:28,18
174,175,WE,Harvester,EndZone_122.png ,466,802,22,448,812,46,414,824,92,456,844,148,462,692,303,5,2023_11_14 09:47:45,18
175,176,WE,SkyW-Trials,EndZone_1220.png ,202,256,21,218,264,46,244,294,91,268,344,148,388,440,303,5,2023_11_24 22:38:50,18
176,177,SP,Pylon,EndZone_1224.png ,566,742,19,556,754,40,588,732,81,582,662,151,474,550,306,5,2023_11_24 22:41:19,18
177,178,SP,Northpad,EndZone_1225.png ,212,158,20,230,168,40,252,202,80,306,244,150,436,328,305,5,2023_11_24 22:41:57,18
178,179,SP,Beast,EndZone_1226.png ,100,256,20,120,260,41,156,272,80,202,326,151,318,430,305,5,2023_11_24 22:42:34,18
179,180,SP,Checkpoint,EndZone_123.png ,326,352,21,308,360,41,300,344,80,358,382,150,508,426,305,5,2024_03_24 15:44:01,18
180,181,SP,Wall,EndZone_1236.png ,622,192,20,608,188,40,582,214,80,548,276,149,590,424,306,5,2023_12_01 22:33:47,18
181,182,WE,Overlook,EndZone_1237.png ,748,374,22,734,372,46,720,410,90,670,434,149,522,478,303,5,2023_12_01 22:34:25,18
182,183,SP,Cascade,EndZone_1248.png ,516,292,19,526,304,40,504,318,79,450,312,149,444,466,305,5,2023_12_01 22:40:55,18
183,184,WE,FragE-NoName,EndZone_125.png ,640,430,23,650,440,46,638,470,90,606,504,149,492,588,303,5,2023_11_14 09:50:02,18
184,185,SP,Mill,EndZone_126.png ,140,532,21,162,538,40,198,524,81,264,500,151,400,422,305,5,2024_03_24 15:45:24,18
185,186,SP,Northpad,EndZone_1261.png ,212,158,20,230,168,40,252,202,80,306,244,150,436,328,305,5,2023_12_01 22:48:42,18
186,187,SP,Ceto-Station,EndZone_1267.png ,384,456,19,388,452,40,396,442,82,332,464,151,478,406,306,5,2023_12_01 22:52:04,18
187,188,SP,Ceto-Station,EndZone_127.png ,402,554,19,408,562,40,386,544,80,372,572,151,478,456,306,5,2024_03_24 15:45:57,18
188,189,WE,Harvester,EndZone_1272.png ,406,608,22,410,590,46,430,586,90,412,606,149,486,514,303,5,2023_12_01 22:54:56,18
189,190,WE,Stacks-Maude,EndZone_128.png ,816,780,21,800,764,46,754,772,91,734,720,148,592,658,302,5,2024_03_24 15:46:30,18
190,191,WE,Survey-Epicenter,EndZone_1283.png ,574,404,23,566,422,46,574,410,92,584,390,147,482,502,302,5,2023_12_01 23:01:50,18
191,192,WE,Lava Fissure,EndZone_1284.png ,130,482,22,150,470,46,154,506,91,212,504,147,340,588,303,5,2023_12_01 23:02:10,18
192,193,WE,Landslide,EndZone_1285.png ,304,496,22,288,504,45,314,484,90,352,510,149,332,634,301,5,2023_12_01 23:02:48,18
